mundial,equipo_a,equipo_b,ranking_a,ranking_b,elo_a,elo_b,forma_a,forma_b,etapa,resultado,marcador
2022,catar,ecuador,50,44,1460.14,1464.39,1.0,1.0,fase_grupos,-1,2-0
2022,inglaterra,iran,5,20,1728.47,1564.61,1.0,1.0,fase_grupos,1,6-2
2022,senegal,paises_bajos,18,8,1584.38,1694.51,1.0,1.0,fase_grupos,-1,0-2
2022,estados_unidos,gales,16,19,1627.48,1569.82,1.0,1.0,fase_grupos,0,1-1
2022,argentina,arabia_saudi,3,51,1773.88,1437.78,1.0,1.0,fase_grupos,-1,1-2
2022,dinamarca,tunez,10,30,1666.57,1507.54,1.0,1.0,fase_grupos,0,0-0
2022,mexico,polonia,13,26,1644.89,1548.59,1.0,1.0,fase_grupos,0,0-0
2022,francia,australia,4,38,1759.78,1488.72,1.0,1.0,fase_grupos,1,4-1
2022,marruecos,croacia,22,12,1563.5,1645.64,1.0,1.0,fase_grupos,0,0-0
2022,alemania,japon,11,24,1650.21,1559.54,1.0,1.0,fase_grupos,-1,1-2
2022,espana,costa_rica,7,31,1715.22,1503.59,1.0,1.0,fase_grupos,1,7-0
2022,belgica,canada,2,41,1816.71,1475.0,1.0,1.0,fase_grupos,1,1-0
2022,suiza,camerun,15,43,1635.92,1471.44,1.0,1.0,fase_grupos,1,1-0
2022,uruguay,corea_sur,14,28,1638.71,1530.3,1.0,1.0,fase_grupos,0,0-0
2022,portugal,ghana,9,61,1676.56,1393.0,1.0,1.0,fase_grupos,1,3-2
2022,brasil,serbia,1,21,1841.3,1563.62,1.0,1.0,fase_grupos,1,2-0
2022,gales,iran,19,20,1573.11,1553.4,1.0,0.0,fase_grupos,-1,0-2
2022,catar,senegal,50,18,1440.38,1570.52,0.0,0.0,fase_grupos,-1,3-1
2022,paises_bajos,ecuador,8,44,1708.37,1484.15,3.0,3.0,fase_grupos,0,1-1
2022,inglaterra,estados_unidos,5,16,1739.68,1624.19,3.0,1.0,fase_grupos,0,0-0
2022,tunez,australia,30,38,1516.1,1481.78,1.0,0.0,fase_grupos,-1,0-1
