mundial,equipo_a,equipo_b,ranking_a,ranking_b,elo_a,elo_b,forma_a,forma_b,etapa,resultado,marcador
2022,catar,ecuador,50,44,1460.14,1464.39,1.2,1.8,fase_grupos,-1,2-0
2022,inglaterra,iran,5,20,1728.47,1564.61,0.6,1.4,fase_grupos,1,6-2
2022,senegal,paises_bajos,18,8,1584.38,1694.51,1.4,2.6,fase_grupos,-1,0-2
2022,estados_unidos,gales,16,19,1627.48,1569.82,1.6,0.2,fase_grupos,0,1-1
2022,argentina,arabia_saudi,3,51,1773.88,1437.78,2.6,1,fase_grupos,-1,1-2
2022,dinamarca,tunez,10,30,1666.57,1507.54,1.2,2,fase_grupos,0,0-0
2022,mexico,polonia,13,26,1644.89,1548.59,1.4,0.8,fase_grupos,0,0-0
2022,francia,australia,4,38,1759.78,1488.72,1,3,fase_grupos,1,4-1
2022,marruecos,croacia,22,12,1563.50,1645.64,2.2,2.6,fase_grupos,0,0-0
2022,alemania,japon,11,24,1650.21,1559.54,1.2,2.2,fase_grupos,-1,1-2
2022,espana,costa_rica,7,31,1715.22,1503.59,2,2,fase_grupos,1,7-0
2022,belgica,canada,2,41,1816.71,1475.00,2,1.2,fase_grupos,1,1-0
2022,suiza,camerun,15,43,1635.92,1471.44,1.8,1.2,fase_grupos,1,1-0
2022,uruguay,corea_sur,14,28,1638.71,1530.30,2.4,2,fase_grupos,0,0-0
2022,portugal,ghana,9,61,1676.56,1393.00,1.8,1.2,fase_grupos,1,3-2
2022,brasil,serbia,1,21,1841.30,1563.62,3,2.6,fase_grupos,1,2-0
2022,gales,iran,,,,,,,fase_grupos,-1,0-2
2022,catar,senegal,,,,,,,fase_grupos,-1,3-1
2022,paises_bajos,ecuador,,,,,,,fase_grupos,0,1-1
2022,inglaterra,estados_unidos,,,,,,,fase_grupos,0,0-0
2022,tunez,australia,,,,,,,fase_grupos,-1,0-1
2022,polonia,arabia_saudi,,,,,,,fase_grupos,1,2-0
2022,francia,dinamarca,,,,,,,fase_grupos,1,2-1
2022,argentina,mexico,,,,,,,fase_grupos,1,2-0
2022,japon,costa_rica,,,,,,,fase_grupos,-1,0-1
2022,belgica,marruecos,,,,,,,fase_grupos,-1,0-2
2022,croacia,canada,,,,,,,fase_grupos,1,4-1
2022,espana,alemania,,,,,,,fase_grupos,0,1-1
2022,camerun,serbia,,,,,,,fase_grupos,0,3-3
2022,corea_sur,ghana,,,,,,,fase_grupos,-1,2-3
2022,brasil,suiza,1,,,,,,fase_grupos,1,1-0
2022,portugal,suiza,,,,,,,fase_grupos,1,2-0
2022,ecuador,senegal,,,,,,,fase_grupos,-1,1-2
2022,paises_bajos,catar,,,,,,,fase_grupos,1,2-0
2022,gales,inglaterra,,,,,,,fase_grupos,-1,0-3
2022,iran,estados_unidos,,,,,,,fase_grupos,-1,0-1
2022,australia,dinamarca,,,,,,,fase_grupos,1,1-0
2022,tunez,francia,,,,,,,fase_grupos,1,1-0
2022,polonia,argentina,,,,,,,fase_grupos,-1,0-2
2022,arabia_saudi,mexico,,,,,,,fase_grupos,-1,1-2
2022,croacia,belgica,,,,,,,fase_grupos,0,0-0
2022,canada,marruecos,,,,,,,fase_grupos,-1,1-2
2022,japon,espana,,,,,,,fase_grupos,1,2-1
2022,costa_rica,alemania,,,,,,,fase_grupos,-1,2-4
2022,ghana,uruguay,,,,,,,fase_grupos,-1,0-2
2022,corea_sur,portugal,,,,,,,fase_grupos,1,2-1
2022,serbia,suiza,,,,,,,fase_grupos,-1,2-3
2022,camerun,brasil,,1,,,,,fase_grupos,1,1-0
2022,paises_bajos,estados_unidos,,,,,,,octavos_final,1,3-1
2022,argentina,australia,,,,,,,octavos_final,1,2-1
2022,francia,polonia,,,,,,,octavos_final,1,3-1
2022,inglaterra,senegal,,,,,,,octavos_final,1,3-0
2022,japon,croacia,,,,,,,octavos_final,-1,1-1
2022,brasil,corea_sur,1,,,,,,octavos_final,1,4-1
2022,marruecos,espana,,,,,,,octavos_final,1,0-0
2022,portugal,suiza,,,,,,,octavos_final,1,6-1
2022,croacia,brasil,,1,,,,,cuartos_final,1,1-1
2022,paises_bajos,argentina,,,,,,,cuartos_final,-1,2-2
2022,marruecos,portugal,,,,,,,cuartos_final,1,1-0
2022,inglaterra,francia,,,,,,,cuartos_final,-1,1-2
2022,argentina,croacia,,,,,,,semifinal,1,3-0
2022,francia,marruecos,,,,,,,semifinal,1,2-0
2022,croacia,marruecos,,,,,,,tercer_puesto,1,2-1
2022,argentina,francia,,,,,,,final,1,3-3
